t,theta_0,x_0,y_0
224.69,70.52038246346302,1.0166861280588582,6.088718211244828
224.70000000000002,70.51876265431684,1.026523772260543,6.086923570699385
224.71,70.51714280797043,1.0363584959590761,6.085112994023474
224.72,70.51552292442122,1.0461902732713053,6.083286485603699
224.73000000000002,70.51390300366666,1.0560190783200276,6.08144404986879
224.74,70.51228304570417,1.065844885234143,6.079585691289578
224.75,70.51066305053119,1.0756676681485513,6.077711414379026
224.76,70.50904301814516,1.0854874012043936,6.07582122369218
224.77,70.50742294854352,1.0953040585489464,6.0739151238262
224.78,70.50580284172369,1.1051176143358663,6.071993119420325
224.79,70.50418269768312,1.1149280427250823,6.070055215155889
224.8,70.50256251641925,1.1247353178829527,6.068101415756302
224.81,70.5009422979295,1.13453941398242,6.0661317259870255
224.82,70.4993220422113,1.1443403052029923,6.064146150655584
224.83,70.4977017492621,1.1541379657307258,6.062144694611566
224.84,70.49608141907933,1.1639323697584667,6.06012736274659
224.85,70.49446105166041,1.1737234914858325,6.058094159994311
224.86,70.49284064700278,1.183511305119195,6.056045091330431
224.87,70.49122020510387,1.1932957848719208,6.0539801617726505
224.88,70.48959972596113,1.2030769049642682,6.051899376380706
224.89000000000001,70.48797920957198,1.2128546396236268,6.049802740256312
224.9,70.48635865593384,1.2226289630845009,6.047690258543184
224.91,70.48473806504416,1.2323998495885777,6.04556193642702
224.92000000000002,70.48311743690036,1.2421672733847102,6.043417779135514
224.93,70.48149677149988,1.2519312087291565,6.04125779193831
224.94,70.47987606884014,1.2616916298855638,6.039081980147015
224.95000000000002,70.47825532891858,1.2714485111250355,6.036890349115178
224.96,70.47663455173262,1.281201826726201,6.034682904238297
224.97,70.4750137372797,1.2909515509751972,6.0324596509538155
224.98000000000002,70.47339288555723,1.300697658165995,6.030220594741064
224.99,70.47177199656267,1.3104401226001245,6.0279657411213226
225.0,70.47015107029341,1.3201789185870865,6.025695095657734
225.01,70.46853010674691,1.3299140204440778,6.023408663955378
225.02,70.46690910592059,1.3396454024963171,6.021106451661192
225.03,70.46528806781188,1.349373039077027,6.018788464463989
225.04,70.46366699241821,1.3590969045275036,6.016454708094447
225.05,70.46204587973699,1.368816973197269,6.0141051883250745
225.06,70.46042472976566,1.3785332194438842,6.011739910970261
225.07,70.45880354250166,1.3882456176332736,6.009358881886213
225.08,70.45718231794238,1.3979541421397927,6.006962106970932
