s,x,y
7.3500000000000005,3.6928102629106148,-6.094685001476852
7.4,3.649806405406353,-6.120187015502874
7.45,3.606342125365061,-6.144902524004464
7.5,3.56287784532377,-6.169618032506055
7.550000000000001,3.519413565282478,-6.194333541007645
7.6000000000000005,3.4755291016137893,-6.2182880049505
7.65,3.4314569890227,-6.241902595604549
7.7,3.3873848764316103,-6.265517186258599
7.75,3.343250030006224,-6.289011074103069
7.800000000000001,3.298597964511356,-6.311509808446186
7.8500000000000005,3.2539458990164887,-6.3340085427893005
7.9,3.2092938335216217,-6.356507277132416
7.95,3.1643515896865524,-6.3784116240772155
8.0,3.1191478178119336,-6.399780269525802
8.05,3.0739440459373135,-6.421148914974389
8.1,3.0287402740626956,-6.442517560422975
8.15,2.983042337319011,-6.462805879957288
8.200000000000001,2.9373154545982327,-6.483030918811151
8.25,2.8915885718774557,-6.503255957665012
8.3,2.8456816715563686,-6.523059751916428
8.35,2.799460604443369,-6.542128389910147
8.4,2.7532395373303675,-6.561197027903865
8.450000000000001,2.707018470217366,-6.580265665897584
8.5,2.6604325212350615,-6.598417311792744
8.55,2.613746508805547,-6.616317486189416
8.6,2.567060496376034,-6.634217660586088
8.65,2.5202847007701097,-6.651874559620705
8.700000000000001,2.473163276225227,-6.6685949468429255
8.75,2.4260418516803464,-6.685315334065147
8.8,2.3789204271354643,-6.702035721287368
8.85,2.331544069882596,-6.718007932399376
8.9,2.2840170418665213,-6.733537955192641
8.950000000000001,2.236490013850446,-6.749067977985906
9.0,2.188943549086068,-6.764535882564409
9.05,2.1410409828293506,-6.778865716688393
9.1,2.093138416572635,-6.793195550812376
9.15,2.045235850315918,-6.80752538493636
9.200000000000001,1.99716898890763,-6.821279743624879
9.25,1.9489211872082202,-6.834400324068377
9.3,1.9006733855088083,-6.8475209045118755
9.35,1.8524255838093984,-6.860641484955373
9.4,1.8038942450312176,-6.872665128634904
9.450000000000001,1.755331729085189,-6.884568155350484
9.5,1.706769213139162,-6.896471182066064
9.55,1.6581138644384303,-6.907973749976963
9.600000000000001,1.6092673545325624,-6.918651693131711
9.65,1.5604208446266963,-6.929329636286458
9.700000000000001,1.5115743347208284,-6.940007579441207
9.75,1.462537058587589,-6.949757040875012
9.8,1.4134374546659767,-6.959203145614048
9.850000000000001,1.3643378507443642,-6.968649250353084
9.9,1.3151979484797165,-6.977870696424333
9.950000000000001,1.2658763105967343,-6.986078987144089
10.0,1.216554672713754,-6.994287277863845
10.05,1.1672330348307718,-7.002495568583601
10.100000000000001,1.1177949576496438,-7.009945424035172
10.15,1.0682824863216176,-7.016910708163713
10.200000000000001,1.0187700149935899,-7.023875992292252
10.25,0.9692512056999466,-7.030791712440513
10.3,0.9195792221679546,-7.03650958372252
10.350000000000001,0.8699072386359625,-7.042227455004527
10.4,0.8202352551039723,-7.047945326286534
10.450000000000001,0.7705030422392298,-7.053074949683452
10.5,0.7207029686555457,-7.057541790967801
10.55,0.67090289507186,-7.062008632252151
10.600000000000001,0.6211028214881742,-7.066475473536499
10.65,0.5712156657461177,-7.069811845736813
10.700000000000001,0.5213190052967849,-7.073024831264956
10.75,0.47142234484745366,-7.0762378167931
10.8,0.4215039744352161,-7.079031481964269
10.850000000000001,0.37154229141137896,-7.080988579158
